Loan_ID,Issue_Date,Borrower_City,Employment_Type,Annual_Income_INR,Loan_Purpose,Loan_Amount_INR,Funded_Amount_INR,Interest_Rate,Loan_Term_Months,Risk_Grade,Loan_Status,Total_Repayment_INR,Investor_Count,Income_Verification,Loan_Channel,Year
P2P101489,2023-08-04,Pune,Self-employed,57900.0,Debt Consolidation,375500.0,361100.0,15.33,36,C,Completed,469000.0,7,Verified,Mobile App,2023
P2P100492,2024-08-21,Mumbai,Self-employed,41800.0,Debt Consolidation,183900.0,171500.0,8.56,24,A,Completed,197800.0,5,Verified,Mobile App,2024
P2P101595,2025-01-23,Bengaluru,Salaried,100100.0,Education,164900.0,162400.0,13.51,24,C,Active,100600.0,4,Verified,Mobile App,2025
P2P101237,2025-07-16,Pune,Self-employed,39500.0,Debt Consolidation,95100.0,87900.0,10.63,36,A,Completed,114300.0,2,Verified,Mobile App,2025
P2P101954,2025-02-06,Bengaluru,Self-employed,104500.0,Debt Consolidation,91400.0,86200.0,10.64,36,B,Completed,112300.0,3,Verified,Mobile App,2025
P2P100222,2024-06-03,Chennai,Self-employed,79100.0,Education,113700.0,102700.0,13.36,36,B,Active,57400.0,2,Not Verified,Mobile App,2024
P2P101484,2021-01-18,Hyderabad,Self-employed,56500.0,Wedding,251200.0,244300.0,14.11,24,C,Defaulted,59600.0,7,Verified,Web,2021
P2P100462,2024-10-05,Unknown,Salaried,116500.0,Wedding,320500.0,317800.0,16.48,12,D,Active,122200.0,12,Verified,Mobile App,2024
P2P101813,2022-12-08,Bengaluru,Business Owner,36900.0,Debt Consolidation,183200.0,174400.0,12.62,36,C,Active,77100.0,4,Verified,Mobile App,2022
P2P100473,2021-05-13,Chennai,Salaried,33600.0,Wedding,558700.0,543000.0,12.43,12,B,Completed,591000.0,20,Not Verified,Mobile App,2021
P2P101728,2025-12-27,Delhi,Salaried,57100.0,Debt Consolidation,208400.0,193700.0,14.1,12,C,Active,89100.0,5,Verified,Web,2025
P2P100505,2024-11-28,Bengaluru,Salaried,36500.0,Debt Consolidation,125200.0,120100.0,13.24,36,C,Active,101000.0,3,Verified,Mobile App,2024
P2P101815,2021-09-09,Mumbai,Salaried,34800.0,Debt Consolidation,293700.0,283800.0,13.13,36,C,Completed,368600.0,9,Verified,Web,2021
P2P100708,2025-05-09,Pune,Salaried,105300.0,Debt Consolidation,464000.0,456900.0,8.91,24,A,Active,330500.0,10,Verified,Mobile App,2025
P2P100938,2025-09-16,Kolkata,Salaried,35100.0,Medical,100000.0,97600.0,10.15,24,A,Completed,109500.0,2,Verified,Web,2025
P2P101780,2025-06-17,Hyderabad,Salaried,91800.0,Wedding,94000.0,93900.0,11.41,12,B,Completed,99900.0,2,Verified,Mobile App,2025
P2P100779,2025-01-17,Lucknow,Salaried,64200.0,Home Improvement,205200.0,185500.0,8.13,24,A,Active,117900.0,4,Verified,Mobile App,2025
P2P101563,2025-04-02,Bengaluru,Salaried,44700.0,Debt Consolidation,237200.0,230200.0,7.98,36,A,Active,154000.0,6,Verified,Mobile App,2025
P2P100866,2024-05-20,Delhi,Self-employed,52300.0,Medical,114900.0,114200.0,8.75,12,A,Completed,118800.0,3,Verified,Mobile App,2024
P2P100620,2025-02-21,Chennai,Business Owner,41400.0,Home Improvement,284000.0,264500.0,10.2,24,A,Active,208400.0,6,Verified,Web,2025
P2P101546,2024-01-25,Bengaluru,Salaried,56800.0,Debt Consolidation,259000.0,254900.0,12.6,24,B,Completed,295500.0,5,Verified,Mobile App,2024
P2P101314,2025-05-18,Delhi,Freelancer,33800.0,Debt Consolidation,286600.0,281100.0,20.77,24,E,Completed,348500.0,6,Verified,Mobile App,2025
P2P100142,2022-11-07,Delhi,Salaried,82500.0,Education,93800.0,93500.0,12.01,24,B,Active,68200.0,2,Verified,Web,2022
P2P100973,2025-02-02,Bengaluru,Salaried,105000.0,Vehicle,144100.0,137700.0,10.66,24,A,Completed,166500.0,3,Verified,Web,2025
P2P100413,2025-10-31,Ahmedabad,Self-employed,22700.0,Education,452000.0,435300.0,9.64,24,A,Completed,503400.0,9,Verified,Mobile App,2025
P2P100124,2021-12-04,Lucknow,Business Owner,69200.0,Home Improvement,215400.0,198300.0,7.5,12,A,Active,157200.0,4,Verified,Mobile App,2021
P2P100582,2025-12-07,Lucknow,Salaried,50500.0,Wedding,171100.0,154900.0,13.07,36,C,Active,147000.0,4,Not Verified,Web,2025
P2P100992,2024-12-13,Mumbai,Salaried,35400.0,Vehicle,286600.0,280200.0,10.65,24,B,Active,99600.0,6,Not Verified,Mobile App,2024
P2P100137,2024-03-19,Delhi,Self-employed,69000.0,Debt Consolidation,216600.0,210300.0,7.94,24,B,Completed,231800.0,6,Verified,Web,2024
P2P100106,2022-11-01,Mumbai,Self-employed,63100.0,Home Improvement,72600.0,71800.0,14.2,36,C,Completed,88800.0,2,Verified,Web,2022
P2P101375,2022-10-27,Bengaluru,Salaried,49900.0,Vehicle,112900.0,110800.0,18.71,36,E,Completed,152300.0,4,Verified,Web,2022
P2P100026,2025-04-08,Mumbai,Business Owner,72700.0,Debt Consolidation,187800.0,169900.0,11.57,36,C,Active,81300.0,5,Verified,Mobile App,2025
P2P100250,2025-07-02,Bengaluru,Freelancer,92600.0,Debt Consolidation,135800.0,133500.0,14.36,12,C,Completed,145800.0,5,Not Verified,Mobile App,2025
P2P101797,2025-01-13,Jaipur,Salaried,66900.0,Education,169600.0,160900.0,10.21,24,A,Completed,192400.0,4,Verified,Mobile App,2025
P2P101502,2024-01-18,Ahmedabad,Salaried,60000.0,Vehicle,113700.0,112600.0,11.1,24,B,Completed,126400.0,4,Not Verified,Web,2024
P2P101578,2024-09-24,Chennai,Freelancer,65800.0,Education,669700.0,644700.0,19.13,36,E,Active,293800.0,25,Verified,Mobile App,2024
P2P100441,2021-09-17,Mumbai,Business Owner,27200.0,Education,239600.0,232000.0,15.03,36,C,Completed,308000.0,8,Verified,Mobile App,2021
P2P100406,2025-08-24,Jaipur,Self-employed,55800.0,Medical,287000.0,279600.0,11.25,36,B,Active,203800.0,8,Verified,Web,2025
P2P101921,2024-12-15,Chennai,Salaried,70300.0,Travel,57600.0,54700.0,16.18,48,C,Active,43400.0,1,Not Verified,Web,2024
P2P101869,2022-01-30,Delhi,Business Owner,43100.0,Small Business,695100.0,681500.0,19.75,24,E,Completed,870800.0,16,Verified,Web,2022
P2P100802,2022-03-20,Bengaluru,Salaried,48100.0,Wedding,538800.0,493700.0,11.18,24,B,Completed,594300.0,18,Verified,Mobile App,2022
P2P101048,2021-03-16,Bengaluru,Salaried,104200.0,Home Improvement,177300.0,161700.0,17.78,36,D,Defaulted,60500.0,3,Verified,Web,2021
P2P101140,2024-07-10,Bengaluru,Freelancer,193200.0,Debt Consolidation,186900.0,171100.0,17.38,24,D,Active,73100.0,7,Verified,Web,2024
P2P101977,2022-11-25,Jaipur,Salaried,37300.0,Home Improvement,240500.0,232800.0,15.67,24,C,Active,151400.0,7,Verified,Mobile App,2022
P2P100107,2023-09-14,Hyderabad,Freelancer,45200.0,Vehicle,146400.0,136800.0,16.37,36,D,Active,114900.0,3,Verified,Mobile App,2023
P2P101418,2022-01-07,Mumbai,Salaried,31500.0,Small Business,147700.0,146800.0,13.73,36,C,Active,86500.0,6,Verified,Web,2022
P2P101420,2025-10-10,Chennai,Salaried,105100.0,Debt Consolidation,256800.0,244600.0,13.84,36,C,Active,207900.0,6,Not Verified,Web,2025
P2P101523,2023-05-26,Pune,Self-employed,84800.0,Debt Consolidation,196200.0,195200.0,17.37,36,D,Defaulted,52400.0,7,Verified,Web,2023
P2P101156,2025-02-27,Ahmedabad,Salaried,77400.0,Medical,227600.0,210400.0,11.77,36,A,Active,148200.0,5,Verified,Web,2025
P2P100583,2024-02-08,Kolkata,Business Owner,59600.0,Education,680800.0,665800.0,12.39,36,B,Active,355100.0,16,Verified,Web,2024
P2P101326,2023-04-28,Mumbai,Salaried,68600.0,Small Business,1048000.0,1041500.0,12.53,36,B,Completed,1279300.0,22,Verified,Web,2023
P2P100668,2022-04-08,Kolkata,Business Owner,79800.0,Small Business,580600.0,566800.0,10.91,36,B,Completed,680300.0,20,Verified,Mobile App,2022
P2P101691,2022-05-11,Bengaluru,Salaried,115000.0,Vehicle,338300.0,337100.0,10.86,24,B,Completed,396800.0,9,Not Verified,Web,2022
P2P100575,2025-07-13,Bengaluru,Business Owner,54400.0,Debt Consolidation,183900.0,169700.0,11.12,12,B,Active,62600.0,4,Verified,Mobile App,2025
P2P101726,2021-07-10,Bengaluru,Self-employed,56500.0,Wedding,186400.0,180000.0,13.62,60,B,Active,80400.0,6,Verified,Mobile App,2021
P2P100155,2025-12-14,Mumbai,Salaried,32300.0,Debt Consolidation,423400.0,393400.0,12.93,60,C,Completed,584400.0,15,Verified,Web,2025
P2P101669,2021-12-23,Ahmedabad,Salaried,112900.0,Debt Consolidation,121600.0,121300.0,12.88,24,C,Late,61800.0,3,Not Verified,Web,2021
P2P101104,2025-10-03,Pune,Salaried,116400.0,Home Improvement,711300.0,703900.0,8.92,36,A,Active,489600.0,25,Verified,Web,2025
P2P101043,2023-03-24,Chennai,Salaried,44900.0,Debt Consolidation,224500.0,210000.0,12.83,24,C,Active,157600.0,6,Verified,Mobile App,2023
P2P100597,2024-11-02,Bengaluru,Self-employed,54000.0,Debt Consolidation,110600.0,109700.0,15.55,36,C,Completed,143600.0,2,Verified,Mobile App,2024
P2P101269,2024-07-21,Hyderabad,Business Owner,33700.0,Medical,172300.0,162800.0,13.26,24,C,Active,108800.0,6,Verified,Web,2024
P2P100311,2023-11-07,Delhi,Salaried,31700.0,Education,253600.0,250100.0,16.02,48,C,Active,198700.0,9,Verified,Mobile App,2023
P2P100981,2023-04-23,Mumbai,Freelancer,133300.0,Home Improvement,127200.0,121400.0,8.97,24,A,Defaulted,21400.0,3,Verified,Mobile App,2023
P2P101260,2024-06-24,Hyderabad,Business Owner,54400.0,Wedding,130500.0,117800.0,15.98,36,C,Completed,162300.0,2,Verified,Web,2024
P2P101737,2023-11-28,Jaipur,Self-employed,53000.0,Small Business,328900.0,316800.0,11.03,36,B,Completed,390400.0,12,Not Verified,Mobile App,2023
P2P100128,2025-07-11,Delhi,Freelancer,44600.0,Debt Consolidation,155600.0,148100.0,12.86,36,C,Active,111200.0,5,Verified,Mobile App,2025
P2P100606,2023-12-19,Bengaluru,Business Owner,46800.0,Education,81000.0,76000.0,12.99,36,C,Late,42800.0,2,Verified,Mobile App,2023
P2P101379,2023-06-09,Pune,Business Owner,69900.0,Debt Consolidation,169900.0,162100.0,15.63,60,C,Completed,257900.0,5,Verified,Mobile App,2023
P2P100828,2023-05-17,Mumbai,Salaried,99200.0,Debt Consolidation,419900.0,399500.0,8.99,36,B,Active,173300.0,13,Verified,Mobile App,2023
P2P101621,2023-12-27,Ahmedabad,Salaried,31200.0,Small Business,72000.0,69000.0,17.8,24,D,Completed,85000.0,2,Not Verified,Mobile App,2023
P2P100775,2025-04-23,Delhi,Salaried,78900.0,Education,176900.0,169900.0,14.96,24,C,Completed,215900.0,6,Verified,Web,2025
P2P100687,2024-06-08,Delhi,Salaried,54400.0,Debt Consolidation,592600.0,573700.0,13.13,24,B,Completed,684100.0,18,Verified,Web,2024
P2P101283,2024-05-20,Bengaluru,Salaried,74100.0,Vehicle,464400.0,451800.0,17.43,60,D,Defaulted,126600.0,17,Verified,Mobile App,2024
P2P100044,2025-09-10,Mumbai,Self-employed,56900.0,Debt Consolidation,273100.0,247600.0,8.78,12,A,Completed,280900.0,7,Verified,Mobile App,2025
P2P100457,2021-02-04,Pune,Self-employed,139200.0,Home Improvement,244600.0,241900.0,9.44,24,A,Completed,277100.0,7,Verified,Mobile App,2021
P2P101354,2025-01-24,Pune,Salaried,47300.0,Education,513800.0,506600.0,11.07,36,B,Active,253800.0,10,Verified,Mobile App,2025
P2P100739,2023-11-08,Mumbai,Salaried,77600.0,Travel,253300.0,248900.0,9.87,60,A,Active,224700.0,8,Not Verified,Web,2023
P2P101035,2021-08-24,Hyderabad,Salaried,54100.0,Debt Consolidation,543500.0,524000.0,10.47,36,B,Completed,630500.0,14,Verified,Mobile App,2021
P2P101292,2022-02-01,Bengaluru,Salaried,52500.0,Vehicle,460500.0,454400.0,16.04,24,D,Active,389600.0,14,Not Verified,Web,2022
P2P100202,2021-09-15,Delhi,Salaried,29700.0,Debt Consolidation,185400.0,182400.0,18.05,36,E,Defaulted,44300.0,4,Verified,Mobile App,2021
P2P101531,2023-03-10,Bengaluru,Salaried,73400.0,Debt Consolidation,163600.0,150200.0,15.85,36,D,Active,134000.0,3,Verified,Mobile App,2023
P2P101253,2021-12-26,Mumbai,Unknown,80800.0,Medical,166300.0,164400.0,12.82,36,B,Completed,198200.0,7,Verified,Mobile App,2021
P2P101753,2021-02-07,Bengaluru,Salaried,43200.0,Home Improvement,107300.0,105000.0,13.52,24,B,Active,41400.0,3,Verified,Web,2021
P2P101168,2024-03-02,Hyderabad,Salaried,72700.0,Debt Consolidation,206900.0,199300.0,11.55,12,B,Completed,227900.0,4,Verified,Web,2024
P2P100977,2024-07-14,Kolkata,Salaried,53000.0,Vehicle,162900.0,148000.0,20.19,60,E,Active,179400.0,3,Verified,Mobile App,2024
P2P101754,2022-10-13,Delhi,Business Owner,67800.0,Small Business,291600.0,267100.0,10.98,48,A,Completed,378200.0,8,Verified,Web,2022
P2P101117,2021-10-08,Kolkata,Salaried,54500.0,Small Business,236000.0,217000.0,13.29,48,B,Completed,319200.0,5,Verified,Mobile App,2021
P2P100660,2024-06-07,Mumbai,Self-employed,61100.0,Small Business,200900.0,181700.0,12.23,36,A,Active,86400.0,4,Not Verified,Web,2024
P2P100652,2024-04-16,Ahmedabad,Self-employed,40700.0,Home Improvement,154200.0,149700.0,10.6,24,A,Completed,179300.0,5,Verified,Mobile App,2024
P2P100989,2022-10-25,Bengaluru,Self-employed,18000.0,Small Business,142100.0,136300.0,11.73,24,B,Completed,161400.0,4,Verified,Web,2022
P2P101308,2025-04-29,Mumbai,Salaried,53800.0,Debt Consolidation,304300.0,293100.0,7.69,24,A,Completed,326200.0,11,Verified,Mobile App,2025
P2P100366,2023-07-30,Pune,Self-employed,49900.0,Debt Consolidation,140800.0,136300.0,11.57,48,B,Completed,173300.0,5,Verified,Mobile App,2023
P2P100674,2024-03-28,Bengaluru,Salaried,55600.0,Debt Consolidation,121500.0,116000.0,15.96,24,D,Late,62000.0,3,Verified,Web,2024
P2P100731,2022-04-16,Hyderabad,Salaried,68900.0,Small Business,302400.0,278100.0,13.29,36,B,Active,166500.0,10,Verified,Mobile App,2022
P2P101154,2024-11-21,Jaipur,Business Owner,34300.0,Home Improvement,136700.0,128800.0,12.04,12,B,Completed,145600.0,3,Verified,Mobile App,2024
P2P100955,2023-09-30,Ahmedabad,Salaried,53000.0,Wedding,127800.0,127000.0,13.93,48,C,Completed,172200.0,4,Not Verified,Web,2023
P2P100852,2025-02-23,Jaipur,Salaried,74000.0,Debt Consolidation,319800.0,311400.0,12.95,60,C,Completed,441200.0,11,Verified,Web,2025
P2P100127,2025-05-19,Hyderabad,Self-employed,101100.0,Medical,69200.0,65400.0,14.1,36,C,Completed,88800.0,2,Verified,Mobile App,2025
P2P101583,2024-07-13,Bengaluru,Business Owner,58600.0,Home Improvement,313400.0,308100.0,11.24,36,B,Completed,365800.0,8,Verified,Web,2024
P2P101751,2024-04-13,Bengaluru,Salaried,45500.0,Wedding,142200.0,140800.0,21.06,36,E,Active,137900.0,4,Verified,Web,2024
P2P100879,2021-03-24,Kolkata,Salaried,63400.0,Medical,206800.0,197700.0,13.62,24,D,Active,114600.0,6,Verified,Mobile App,2021
P2P101309,2023-05-03,Kolkata,Business Owner,61100.0,Home Improvement,239100.0,217900.0,10.72,12,A,Completed,262500.0,5,Verified,Mobile App,2023
P2P101699,2025-11-16,Delhi,Freelancer,54200.0,Wedding,141500.0,139600.0,10.87,48,B,Completed,179500.0,5,Verified,Mobile App,2025
P2P100483,2023-12-07,Pune,Salaried,74800.0,Travel,100600.0,99300.0,13.09,36,B,Completed,122500.0,2,Verified,Mobile App,2023
P2P100547,2021-12-14,Pune,Salaried,171700.0,Debt Consolidation,159000.0,153300.0,10.21,12,A,Completed,170300.0,3,Verified,Mobile App,2021
P2P101633,2024-10-29,Delhi,Salaried,50500.0,Education,228700.0,210900.0,11.84,24,C,Active,127600.0,5,Verified,Mobile App,2024
P2P101652,2023-02-23,Bengaluru,Self-employed,29400.0,Home Improvement,117800.0,117400.0,10.41,36,A,Active,41300.0,3,Verified,Mobile App,2023
P2P100235,2022-06-28,Delhi,Salaried,35900.0,Small Business,333200.0,317300.0,9.47,36,B,Active,118500.0,7,Verified,Mobile App,2022
P2P101675,2025-04-14,Hyderabad,Freelancer,35300.0,Medical,653200.0,603500.0,10.26,60,B,Active,511400.0,15,Not Verified,Mobile App,2025
P2P100132,2022-08-30,Kolkata,Salaried,30100.0,Debt Consolidation,356100.0,347900.0,12.1,48,B,Active,136800.0,7,Verified,Web,2022
P2P101913,2025-12-27,Hyderabad,Self-employed,43800.0,Debt Consolidation,63400.0,57500.0,19.58,36,E,Completed,84200.0,1,Verified,Mobile App,2025
P2P100225,2022-12-08,Bengaluru,Self-employed,47200.0,Debt Consolidation,178200.0,162100.0,11.64,12,A,Completed,191400.0,5,Verified,Web,2022
P2P100063,2025-06-01,Hyderabad,Business Owner,102800.0,Vehicle,389200.0,379800.0,15.65,36,D,Active,328900.0,10,Verified,Mobile App,2025
P2P100102,2024-09-15,Chennai,Salaried,69000.0,Education,197100.0,184900.0,12.75,12,B,Active,79300.0,4,Verified,Mobile App,2024
P2P101762,2025-06-21,Bengaluru,Freelancer,86100.0,Small Business,700400.0,650400.0,14.54,12,C,Active,503300.0,14,Verified,Mobile App,2025
P2P100961,2021-09-11,Hyderabad,Salaried,65500.0,Debt Consolidation,327300.0,318900.0,11.95,36,B,Late,191700.0,8,Verified,Mobile App,2021
P2P100301,2021-06-08,Kolkata,Salaried,82900.0,Vehicle,1181500.0,1179600.0,8.65,24,B,Completed,1281400.0,28,Verified,Mobile App,2021
P2P100714,2023-09-17,Ahmedabad,Self-employed,66000.0,Home Improvement,116600.0,109000.0,13.3,36,C,Completed,142600.0,4,Not Verified,Web,2023
P2P100261,2024-08-13,Bengaluru,Salaried,50400.0,Small Business,402200.0,386600.0,9.73,36,B,Late,97000.0,11,Verified,Web,2024
P2P100759,2025-08-21,Lucknow,Salaried,109800.0,Small Business,205900.0,187500.0,13.15,48,B,Active,146400.0,6,Not Verified,Web,2025
P2P100933,2025-12-12,Delhi,Unknown,41500.0,Debt Consolidation,472800.0,460900.0,14.32,36,C,Completed,597900.0,9,Verified,Mobile App,2025
P2P100847,2021-09-19,Delhi,Freelancer,101700.0,Vehicle,157300.0,146300.0,10.48,24,B,Active,60900.0,6,Verified,Web,2021
P2P100758,2024-04-10,Pune,Business Owner,74900.0,Wedding,465100.0,454100.0,9.7,48,A,Completed,583100.0,12,Verified,Mobile App,2024
P2P100807,2025-10-11,Kolkata,Salaried,19000.0,Small Business,595700.0,594300.0,8.25,36,A,Completed,670600.0,21,Verified,Mobile App,2025
P2P100288,2024-04-24,Hyderabad,Salaried,62100.0,Home Improvement,192000.0,175700.0,9.92,60,B,Late,85100.0,4,Verified,Web,2024
P2P101920,2023-09-18,Delhi,Self-employed,85000.0,Vehicle,193400.0,181200.0,13.35,36,C,Completed,242500.0,5,Verified,Mobile App,2023
P2P101031,2021-04-24,Chennai,Salaried,159700.0,Debt Consolidation,151400.0,139900.0,21.43,24,E,Active,107500.0,4,Not Verified,Mobile App,2021
P2P101628,2024-04-14,Hyderabad,Salaried,28200.0,Vehicle,314100.0,303100.0,13.44,24,B,Completed,365900.0,8,Verified,Web,2024
P2P100959,2022-04-21,Chennai,Salaried,134300.0,Debt Consolidation,62900.0,58800.0,8.69,12,A,Completed,64700.0,2,Not Verified,Mobile App,2022
P2P100863,2024-03-27,Lucknow,Salaried,39400.0,Travel,405000.0,395700.0,8.46,36,A,Completed,477300.0,10,Verified,Mobile App,2024
P2P101511,2025-05-13,Ahmedabad,Salaried,59000.0,Home Improvement,282600.0,275600.0,9.43,36,A,Active,229300.0,7,Not Verified,Mobile App,2025
P2P100646,2025-08-17,Unknown,Self-employed,82400.0,Home Improvement,248100.0,245900.0,9.17,60,A,Completed,315700.0,7,Verified,Web,2025
P2P100412,2025-10-30,Delhi,Salaried,62500.0,Debt Consolidation,177700.0,174000.0,11.0,24,B,Completed,201900.0,4,Verified,Web,2025
P2P100377,2025-06-22,Kolkata,Salaried,41000.0,Home Improvement,289700.0,287300.0,11.45,48,B,Completed,376100.0,7,Verified,Web,2025
P2P100263,2022-02-18,Bengaluru,Salaried,54500.0,Wedding,47600.0,46400.0,12.59,36,C,Active,29900.0,2,Not Verified,Web,2022
P2P101109,2024-12-15,Unknown,Business Owner,88300.0,Medical,215100.0,195200.0,19.89,36,E,Completed,292500.0,4,Verified,Mobile App,2024
P2P100792,2024-06-30,Delhi,Freelancer,94000.0,Travel,505900.0,504300.0,9.17,60,A,Active,433100.0,13,Not Verified,Mobile App,2024
P2P101579,2024-08-01,Jaipur,Business Owner,30400.0,Small Business,226700.0,221500.0,14.6,48,C,Completed,302900.0,7,Verified,Web,2024
P2P100722,2022-05-26,Bengaluru,Salaried,55800.0,Vehicle,390100.0,371100.0,10.12,60,A,Completed,514600.0,12,Verified,Mobile App,2022
P2P101551,2025-11-01,Lucknow,Salaried,64700.0,Vehicle,343800.0,326800.0,15.48,48,C,Active,151200.0,8,Not Verified,Mobile App,2025
P2P100367,2025-11-13,Delhi,Salaried,65400.0,Debt Consolidation,282600.0,274100.0,11.85,24,B,Active,186200.0,7,Verified,Web,2025
P2P100013,2025-06-06,Lucknow,Self-employed,90300.0,Wedding,385700.0,349000.0,12.4,12,B,Completed,428000.0,12,Not Verified,Mobile App,2025
P2P100130,2024-03-07,Mumbai,Salaried,18000.0,Home Improvement,209000.0,195000.0,9.33,24,A,Active,120400.0,7,Verified,Web,2024
P2P100681,2025-05-18,Chennai,Salaried,48600.0,Debt Consolidation,206300.0,198400.0,14.18,24,C,Completed,242400.0,5,Verified,Web,2025
P2P100510,2025-01-24,Chennai,Freelancer,28900.0,Wedding,272800.0,267600.0,11.8,36,B,Late,69600.0,7,Verified,Web,2025
P2P101291,2023-08-20,Chennai,Salaried,39100.0,Debt Consolidation,496500.0,472400.0,14.52,12,C,Completed,554500.0,17,Not Verified,Mobile App,2023
P2P101525,2024-01-29,Delhi,Salaried,53600.0,Debt Consolidation,73400.0,70000.0,12.03,60,B,Active,38300.0,3,Verified,Web,2024
P2P101330,2024-02-16,Pune,Salaried,37500.0,Small Business,206500.0,204400.0,13.52,36,C,Completed,263100.0,6,Verified,Mobile App,2024
P2P101422,2024-03-01,Chennai,Salaried,55300.0,Medical,223500.0,218800.0,15.85,12,C,Late,69200.0,8,Verified,Web,2024
P2P101598,2021-09-01,Bengaluru,Self-employed,44200.0,Education,407000.0,384900.0,12.98,36,C,Completed,493100.0,10,Verified,Web,2021
P2P101391,2022-10-01,Chennai,Salaried,107700.0,Home Improvement,1139500.0,1128500.0,14.32,12,C,Active,858000.0,27,Verified,Web,2022
P2P100598,2022-05-05,Mumbai,Salaried,28300.0,Education,329900.0,319800.0,13.07,36,C,Defaulted,63300.0,8,Verified,Mobile App,2022
P2P101882,2025-07-27,Hyderabad,Self-employed,58600.0,Small Business,328900.0,313300.0,12.2,36,C,Completed,408100.0,10,Verified,Mobile App,2025
P2P100373,2021-10-17,Jaipur,Salaried,83800.0,Small Business,176100.0,172700.0,14.53,48,C,Active,149800.0,4,Verified,Mobile App,2021
P2P100039,2024-11-27,Bengaluru,Self-employed,36300.0,Debt Consolidation,232900.0,229300.0,13.21,24,C,Active,194000.0,6,Verified,Mobile App,2024
P2P101445,2025-07-20,Delhi,Salaried,104200.0,Travel,203800.0,199500.0,19.67,12,E,Active,146600.0,7,Verified,Mobile App,2025
P2P101767,2025-02-08,Mumbai,Salaried,55900.0,Medical,253100.0,248700.0,14.95,36,C,Late,188200.0,7,Verified,Mobile App,2025
P2P100077,2025-03-22,Delhi,Salaried,82700.0,Debt Consolidation,372400.0,343100.0,11.03,60,A,Active,292900.0,14,Verified,Mobile App,2025
P2P101744,2021-02-03,Delhi,Freelancer,78400.0,Debt Consolidation,237900.0,236800.0,14.0,36,C,Completed,300900.0,7,Verified,Web,2021
P2P101903,2025-03-09,Mumbai,Salaried,46000.0,Wedding,219900.0,219600.0,7.61,12,A,Completed,229700.0,8,Verified,Web,2025
P2P100302,2024-04-07,Hyderabad,Freelancer,66500.0,Medical,288900.0,284800.0,10.34,36,A,Active,248500.0,9,Verified,Mobile App,2024
P2P101783,2023-12-20,Ahmedabad,Self-employed,28500.0,Debt Consolidation,324700.0,297300.0,11.09,24,B,Completed,373300.0,11,Verified,Web,2023
P2P101839,2025-10-03,Delhi,Self-employed,41400.0,Wedding,195900.0,193900.0,9.99,48,B,Completed,241500.0,6,Verified,Web,2025
P2P101177,2025-04-02,Lucknow,Business Owner,130400.0,Small Business,237900.0,227100.0,20.29,24,E,Active,116400.0,7,Verified,Web,2025
P2P100215,2025-01-07,Kolkata,Self-employed,117800.0,Small Business,120400.0,108400.0,15.73,12,C,Completed,133200.0,3,Verified,Mobile App,2025
P2P101126,2024-05-07,Hyderabad,Self-employed,32500.0,Medical,147800.0,136800.0,18.87,48,E,Active,68500.0,3,Not Verified,Web,2024
P2P100339,2024-01-11,Hyderabad,Salaried,33500.0,Debt Consolidation,629400.0,611500.0,16.18,12,D,Active,509300.0,23,Verified,Web,2024
P2P100259,2024-06-05,Ahmedabad,Salaried,48000.0,Home Improvement,169500.0,153300.0,21.13,36,E,Active,147400.0,4,Verified,Web,2024
P2P101768,2024-01-13,Delhi,Salaried,46700.0,Home Improvement,174900.0,174800.0,10.63,60,A,Completed,230100.0,6,Verified,Web,2024
P2P101215,2024-12-12,Bengaluru,Salaried,122700.0,Debt Consolidation,731200.0,694900.0,14.75,24,C,Completed,851800.0,18,Verified,Mobile App,2024
P2P100567,2023-08-11,Chennai,Salaried,43400.0,Debt Consolidation,226500.0,214900.0,12.51,24,C,Active,97400.0,4,Verified,Web,2023
P2P101636,2022-09-28,Bengaluru,Salaried,163300.0,Education,384300.0,347500.0,11.42,36,B,Active,164200.0,8,Verified,Web,2022
P2P100658,2023-06-16,Delhi,Salaried,57500.0,Vehicle,181000.0,163400.0,10.99,12,B,Active,112100.0,4,Verified,Mobile App,2023
P2P100639,2022-12-18,Bengaluru,Self-employed,45300.0,Travel,552000.0,519800.0,13.29,60,C,Completed,796000.0,17,Verified,Mobile App,2022
P2P100424,2024-02-11,Mumbai,Self-employed,94300.0,Education,172100.0,164600.0,14.81,36,C,Completed,223200.0,5,Verified,Mobile App,2024
P2P101390,2023-12-05,Delhi,Business Owner,42000.0,Small Business,180800.0,177500.0,13.85,48,C,Completed,236900.0,6,Verified,Mobile App,2023
P2P100101,2021-04-07,Delhi,Self-employed,46700.0,Wedding,330300.0,306700.0,12.7,24,C,Defaulted,61400.0,8,Verified,Mobile App,2021
P2P100309,2025-04-21,Hyderabad,Business Owner,74700.0,Debt Consolidation,163200.0,155800.0,9.46,48,A,Active,107000.0,4,Verified,Mobile App,2025
P2P101596,2024-06-18,Lucknow,Salaried,52100.0,Medical,184600.0,166500.0,7.92,24,A,Defaulted,37100.0,4,Verified,Mobile App,2024
P2P100629,2021-04-23,Pune,Self-employed,38700.0,Education,173400.0,160400.0,16.72,24,C,Active,115600.0,4,Verified,Mobile App,2021
P2P100968,2023-02-11,Delhi,Self-employed,37800.0,Education,165900.0,156900.0,10.88,60,B,Active,135900.0,4,Verified,Web,2023
